Название,Авторы,Рейтинг,Количество отзывов
Атлант расправил плечи,Айн Рэнд,"4,2",6186
Ночь в Лиссабоне,Эрих Мария Ремарк,"4,8",1101
Жареные зеленые помидоры в кафе «Полустанок»,Фэнни Флэгг,"4,6",6433
Один в Берлине (Каждый умирает в одиночку),Ханс Фаллада,"4,7",698
Весь Шерлок Холмс. Сборник,Артур Конан Дойл,"4,6",370
Источник,Айн Рэнд,"4,6",3040
На западном фронте без перемен,Эрих Мария Ремарк,"4,9",545
Атлант расправил плечи (краткая версия),Айн Рэнд,"4,4",2205
Мастер и Маргарита,Михаил Булгаков,"4,8",2716
Война и мир. В 4-х томах,Лев Толстой,"4,7",1922
Три товарища,Эрих Мария Ремарк,"4,8",1319
Скотный Двор,Джордж Оруэлл,"4,8",3000
Тихий Дон,Михаил Шолохов,"4,7",1193
Дейзи Фэй и чудеса,Фэнни Флэгг,"4,6",325
Компромисс,Сергей Довлатов,"4,6",3103
Две жизни. Часть 1. Мистический роман,Конкордия Антарова,"4,6",1110
Триумфальная арка,Эрих Мария Ремарк,"4,7",988
На Западном фронте без перемен,Эрих Мария Ремарк,"4,9",960
Вино из одуванчиков,Рэй Брэдбери,"4,6",1005
Славянские мифы. От Велеса и Мокоши до птицы Сирин и Ивана Купалы,Александра Баркова,"4,5",23
Бесконечная шутка,Дэвид Фостер Уоллес,"3,8",240
Завтрак у Тиффани,Трумен Капоте,"4,5",5325
Унесенные ветром. Том 1,Маргарет Митчелл,"4,9",667
Триумфальная арка,Эрих Мария Ремарк,"4,7",1164
Старик и море,Эрнест Хемингуэй,"4,7",2426
Убить пересмешника,Харпер Ли,"4,8",7234
Доктор Живаго,Борис Пастернак,"4,6",1612
Черный обелиск,Эрих Мария Ремарк,"4,7",761
Скотный двор,Джордж Оруэлл,"4,9",966
1984. Скотный двор (сборник),Джордж Оруэлл,"4,7",782
Невыносимая легкость бытия,Милан Кундера,"5,0",4
Один день мисс Петтигрю,Уинифред Уотсон,"4,7",697
Тихий Дон,Михаил Шолохов,"4,9",263
Лолита,Владимир Набоков,"4,1",1816
Большое собрание юмористических рассказов,Антон Чехов,"4,9",9
Три мушкетера,Александр Дюма,"4,7",275
Две жизни. Все части. Сборник в обновленной редакции,Конкордия Антарова,"5,0",1
Большая книга мудрости Востока,Сунь-цзы,"4,0",13
Доктор Живаго,Борис Пастернак,"4,5",458
Замок Броуди,Арчибальд Кронин,"4,7",842
